reaction,origin,rule
R03150,map_rn2ko_viaEC_1minus,frozenset({'K00907'})
R03155,map_rn2ko_viaEC_1minus,frozenset({'K19654'})
R03219,map_rn2ko_viaEC_1minus,frozenset({'K00472'})
R03225,map_rn2ko_viaEC_1minus,frozenset({'K11173'})
R03229,map_rn2ko_viaEC_1minus,frozenset({'K21895'})
R03255,map_rn2ko_viaEC_1minus,frozenset({'K01220'})
R03267,map_rn2ko_viaEC_1minus,frozenset({'K10757'})
R03274,map_rn2ko_viaEC_1minus,frozenset({'K00910'})
R03297,map_rn2ko_viaEC_1minus,frozenset({'K23279'})
R03298,map_rn2ko_viaEC_1minus,frozenset({'K05716'})
R03322,map_rn2ko_viaEC_1minus,frozenset({'K17739'})
R03331,map_rn2ko_viaEC_1minus,frozenset({'K01124'})
R03333,map_rn2ko_viaEC_1minus,frozenset({'K01124'})
R03344,map_rn2ko_viaEC_1minus,frozenset({'K00485'})
R03352,map_rn2ko_viaEC_1minus,frozenset({'K05605'})
R03357,map_rn2ko_viaEC_1minus,frozenset({'K06123'})
R03364,map_rn2ko_viaEC_1minus,frozenset({'K01771'})
R03411,map_rn2ko_viaEC_1minus,frozenset({'K00574'})
R03421,map_rn2ko_viaEC_1minus,frozenset({'K01444'})
